Name,Platforms,Country,Language,Handle,Contact_Value,Source_Link,Est_Conversion_Rate,Category,Tier,Notes
Anjali Zone,Twitter/X,India,English,@anjalizone_tech203,Medium ($5k),https://platform.com/anjalizone_tech203,4.28%,Tech,Mid,Mock Data - Ready for Outreach
TechGaming,Twitch,India,English,@techgaming_gaming866,Low ($225),https://platform.com/techgaming_gaming866,5.35%,Gaming,Micro,Mock Data - Ready for Outreach
GamerTech,Twitch,India,Telugu,@gamertech_tech955,Low ($588),https://platform.com/gamertech_tech955,4.95%,Tech,Micro,Mock Data - Ready for Outreach
Anjali Tech,YouTube/Instagram,India,Marathi,@anjalitech_gaming865,Low ($688),https://platform.com/anjalitech_gaming865,5.22%,Gaming,Micro,Mock Data - Ready for Outreach
Anjali Zone,Twitter/X,India,Marathi,@anjalizone_gaming865,Low ($577),https://platform.com/anjalizone_gaming865,4.49%,Gaming,Micro,Mock Data - Ready for Outreach
Vikram Karan,Twitter/X,India,Tamil,@vikramkaran_gaming383,Low ($518),https://platform.com/vikramkaran_gaming383,5.02%,Gaming,Micro,Mock Data - Ready for Outreach
JessicaProfessional,Twitch,Germany,English,@jessicaprofessional_professional706,Low ($753),https://platform.com/jessicaprofessional_professional706,4.93%,Professional,Micro,Mock Data - Ready for Outreach
Tech Emma,YouTube/Instagram,Germany,English,@techemma_professional759,Medium ($4k),https://platform.com/techemma_professional759,2.67%,Professional,Mid,Mock Data - Ready for Outreach
MikeGaming,YouTube,Germany,English,@mikegaming_gaming263,Low ($882),https://platform.com/mikegaming_gaming263,4.66%,Gaming,Micro,Mock Data - Ready for Outreach
VikramTech,YouTube,India,Marathi,@vikramtech_tech870,Low ($641),https://platform.com/vikramtech_tech870,5.19%,Tech,Micro,Mock Data - Ready for Outreach
Rahul Amit,Twitch,India,English,@rahulamit_tech138,Low ($492),https://platform.com/rahulamit_tech138,5.58%,Tech,Micro,Mock Data - Ready for Outreach
AnjaliGaming,YouTube,India,Hindi/English,@anjaligaming_gaming402,Low ($383),https://platform.com/anjaligaming_gaming402,5.01%,Gaming,Micro,Mock Data - Ready for Outreach
PlaysGaming,Twitter/X,Canada,English,@playsgaming_gaming49,Low ($444),https://platform.com/playsgaming_gaming49,5.02%,Gaming,Micro,Mock Data - Ready for Outreach
RohanTech,Twitter/X,India,Marathi,@rohantech_tech511,Low ($152),https://platform.com/rohantech_tech511,5.31%,Tech,Micro,Mock Data - Ready for Outreach
Vikram Karan,Twitter/X,India,English,@vikramkaran_gaming799,Medium ($4k),https://platform.com/vikramkaran_gaming799,3.53%,Gaming,Mid,Mock Data - Ready for Outreach
TVGaming,Twitter/X,Australia,English,@tvgaming_gaming413,Low ($139),https://platform.com/tvgaming_gaming413,4.35%,Gaming,Micro,Mock Data - Ready for Outreach
GamingTech,Twitch,Germany,English,@gamingtech_tech319,Low ($410),https://platform.com/gamingtech_tech319,4.59%,Tech,Micro,Mock Data - Ready for Outreach
Nisha Vikram,Twitch,India,Hindi/English,@nishavikram_gaming314,Low ($640),https://platform.com/nishavikram_gaming314,4.83%,Gaming,Micro,Mock Data - Ready for Outreach
TVTech,Instagram,UK,English,@tvtech_tech244,Low ($820),https://platform.com/tvtech_tech244,5.67%,Tech,Micro,Mock Data - Ready for Outreach
HubGaming,Twitch,Australia,English,@hubgaming_gaming689,Low ($686),https://platform.com/hubgaming_gaming689,5.38%,Gaming,Micro,Mock Data - Ready for Outreach
TVTech,Twitter/X,UK,English,@tvtech_tech103,Low ($533),https://platform.com/tvtech_tech103,4.85%,Tech,Micro,Mock Data - Ready for Outreach
PlaysGaming,Twitter/X,UK,English,@playsgaming_gaming638,Low ($546),https://platform.com/playsgaming_gaming638,4.67%,Gaming,Micro,Mock Data - Ready for Outreach
Gamer Nisha,Instagram,India,English,@gamernisha_professional484,Low ($568),https://platform.com/gamernisha_professional484,4.27%,Professional,Micro,Mock Data - Ready for Outreach
HubGaming,Twitch,USA,English,@hubgaming_gaming681,Medium ($2k),https://platform.com/hubgaming_gaming681,2.7%,Gaming,Mid,Mock Data - Ready for Outreach
Mike Plays,Instagram,Canada,English,@mikeplays_professional173,Medium ($3k),https://platform.com/mikeplays_professional173,3.35%,Professional,Mid,Mock Data - Ready for Outreach
Anjali Nisha,YouTube,India,English,@anjalinisha_professional388,Low ($861),https://platform.com/anjalinisha_professional388,4.09%,Professional,Micro,Mock Data - Ready for Outreach
RohanGaming,Instagram,India,Hindi,@rohangaming_gaming587,Low ($701),https://platform.com/rohangaming_gaming587,5.46%,Gaming,Micro,Mock Data - Ready for Outreach
Tom Anna,YouTube/Instagram,USA,English,@tomanna_professional814,Low ($756),https://platform.com/tomanna_professional814,4.15%,Professional,Micro,Mock Data - Ready for Outreach
JessicaTech,YouTube/Instagram,USA,English,@jessicatech_tech377,Medium ($3k),https://platform.com/jessicatech_tech377,4.48%,Tech,Mid,Mock Data - Ready for Outreach
Official Vikram,Twitch,India,Hindi,@officialvikram_gaming244,Medium ($5k),https://platform.com/officialvikram_gaming244,3.62%,Gaming,Mid,Mock Data - Ready for Outreach
TechTech,Twitch,Canada,English,@techtech_tech63,Low ($720),https://platform.com/techtech_tech63,4.74%,Tech,Micro,Mock Data - Ready for Outreach
Rohan World,YouTube,India,English,@rohanworld_gaming571,Low ($324),https://platform.com/rohanworld_gaming571,5.27%,Gaming,Micro,Mock Data - Ready for Outreach
Rahul Zone,Instagram,India,Hindi/English,@rahulzone_tech19,Low ($625),https://platform.com/rahulzone_tech19,4.85%,Tech,Micro,Mock Data - Ready for Outreach
Ryan Anna,YouTube/Instagram,Australia,English,@ryananna_tech139,Low ($238),https://platform.com/ryananna_tech139,5.0%,Tech,Micro,Mock Data - Ready for Outreach
Hub TV,Twitter/X,Australia,English,@hubtv_professional41,Medium ($1k),https://platform.com/hubtv_professional41,2.54%,Professional,Mid,Mock Data - Ready for Outreach
Arjun Sneha,Twitter/X,India,Marathi,@arjunsneha_tech493,Low ($134),https://platform.com/arjunsneha_tech493,5.57%,Tech,Micro,Mock Data - Ready for Outreach
ZoneGaming,YouTube/Instagram,India,Tamil,@zonegaming_gaming420,Low ($796),https://platform.com/zonegaming_gaming420,4.94%,Gaming,Micro,Mock Data - Ready for Outreach
Anjali Official,YouTube/Instagram,India,English,@anjaliofficial_gaming801,Low ($628),https://platform.com/anjaliofficial_gaming801,5.4%,Gaming,Micro,Mock Data - Ready for Outreach
Rahul Official,Twitter/X,India,Tamil,@rahulofficial_gaming634,Medium ($5k),https://platform.com/rahulofficial_gaming634,3.02%,Gaming,Mid,Mock Data - Ready for Outreach
JessicaTech,YouTube,Australia,English,@jessicatech_tech612,Low ($847),https://platform.com/jessicatech_tech612,5.48%,Tech,Micro,Mock Data - Ready for Outreach
Karan Zone,Instagram,India,Hindi,@karanzone_gaming432,Low ($790),https://platform.com/karanzone_gaming432,5.25%,Gaming,Micro,Mock Data - Ready for Outreach
Plays Hub,Instagram,Canada,English,@playshub_gaming658,Medium ($4k),https://platform.com/playshub_gaming658,2.58%,Gaming,Mid,Mock Data - Ready for Outreach
GamingProfessional,YouTube/Instagram,USA,English,@gamingprofessional_professional936,Low ($778),https://platform.com/gamingprofessional_professional936,4.08%,Professional,Micro,Mock Data - Ready for Outreach
RohanGaming,Twitter/X,India,Hindi/English,@rohangaming_gaming522,Medium ($3k),https://platform.com/rohangaming_gaming522,3.88%,Gaming,Mid,Mock Data - Ready for Outreach
Amit Karan,YouTube,India,Hindi/English,@amitkaran_tech772,Low ($453),https://platform.com/amitkaran_tech772,5.9%,Tech,Micro,Mock Data - Ready for Outreach
GamingTech,Twitter/X,Germany,English,@gamingtech_tech51,Low ($354),https://platform.com/gamingtech_tech51,4.96%,Tech,Micro,Mock Data - Ready for Outreach
Gaming Emma,YouTube/Instagram,UK,English,@gamingemma_tech22,Low ($738),https://platform.com/gamingemma_tech22,5.46%,Tech,Micro,Mock Data - Ready for Outreach
HubTech,YouTube/Instagram,UK,English,@hubtech_tech816,Medium ($4k),https://platform.com/hubtech_tech816,3.91%,Tech,Mid,Mock Data - Ready for Outreach
Rahul Official,YouTube,India,Telugu,@rahulofficial_gaming760,Low ($267),https://platform.com/rahulofficial_gaming760,5.42%,Gaming,Micro,Mock Data - Ready for Outreach
Arjun Rahul,Twitch,India,English,@arjunrahul_gaming456,Low ($278),https://platform.com/arjunrahul_gaming456,5.37%,Gaming,Micro,Mock Data - Ready for Outreach
WorldTech,Instagram,India,Hindi/English,@worldtech_tech773,Low ($793),https://platform.com/worldtech_tech773,5.74%,Tech,Micro,Mock Data - Ready for Outreach
Mike Emma,YouTube/Instagram,Germany,English,@mikeemma_tech952,Low ($553),https://platform.com/mikeemma_tech952,5.7%,Tech,Micro,Mock Data - Ready for Outreach
Vikram Sneha,Twitter/X,India,Tamil,@vikramsneha_tech354,Low ($816),https://platform.com/vikramsneha_tech354,4.93%,Tech,Micro,Mock Data - Ready for Outreach
TV Jessica,Twitter/X,Australia,English,@tvjessica_gaming922,Low ($504),https://platform.com/tvjessica_gaming922,4.76%,Gaming,Micro,Mock Data - Ready for Outreach
Rohan Sneha,YouTube,India,English,@rohansneha_gaming616,Medium ($2k),https://platform.com/rohansneha_gaming616,2.52%,Gaming,Mid,Mock Data - Ready for Outreach
AlexTech,Instagram,Germany,English,@alextech_tech586,Low ($337),https://platform.com/alextech_tech586,5.7%,Tech,Micro,Mock Data - Ready for Outreach
AnjaliTech,Twitch,India,English,@anjalitech_tech536,Low ($566),https://platform.com/anjalitech_tech536,5.4%,Tech,Micro,Mock Data - Ready for Outreach
ZoneTech,Twitch,India,Marathi,@zonetech_tech96,Low ($461),https://platform.com/zonetech_tech96,4.94%,Tech,Micro,Mock Data - Ready for Outreach
VikramTech,Twitch,India,Telugu,@vikramtech_tech307,Low ($308),https://platform.com/vikramtech_tech307,5.78%,Tech,Micro,Mock Data - Ready for Outreach
Priya Sneha,Instagram,India,Telugu,@priyasneha_professional669,Medium ($2k),https://platform.com/priyasneha_professional669,3.45%,Professional,Mid,Mock Data - Ready for Outreach
ChrisGaming,Twitter/X,Canada,English,@chrisgaming_gaming226,Medium ($2k),https://platform.com/chrisgaming_gaming226,2.9%,Gaming,Mid,Mock Data - Ready for Outreach
NishaGaming,YouTube/Instagram,India,Hindi,@nishagaming_gaming765,Low ($420),https://platform.com/nishagaming_gaming765,4.7%,Gaming,Micro,Mock Data - Ready for Outreach
VikramTech,Twitch,India,Hindi/English,@vikramtech_tech290,Medium ($2k),https://platform.com/vikramtech_tech290,3.06%,Tech,Mid,Mock Data - Ready for Outreach
Zone Amit,Twitter/X,India,Hindi,@zoneamit_tech944,Low ($392),https://platform.com/zoneamit_tech944,5.84%,Tech,Micro,Mock Data - Ready for Outreach
GamingTech,YouTube,Germany,English,@gamingtech_tech470,Medium ($3k),https://platform.com/gamingtech_tech470,3.23%,Tech,Mid,Mock Data - Ready for Outreach
Official Gamer,YouTube/Instagram,India,Hindi,@officialgamer_professional922,Low ($881),https://platform.com/officialgamer_professional922,4.14%,Professional,Micro,Mock Data - Ready for Outreach
KaranTech,YouTube/Instagram,India,Hindi/English,@karantech_tech466,Low ($722),https://platform.com/karantech_tech466,5.63%,Tech,Micro,Mock Data - Ready for Outreach
David Gaming,Twitter/X,Australia,English,@davidgaming_professional316,Low ($679),https://platform.com/davidgaming_professional316,4.67%,Professional,Micro,Mock Data - Ready for Outreach
World Gamer,YouTube/Instagram,India,Marathi,@worldgamer_tech122,Low ($476),https://platform.com/worldgamer_tech122,4.93%,Tech,Micro,Mock Data - Ready for Outreach
DavidGaming,Instagram,Germany,English,@davidgaming_gaming323,Low ($839),https://platform.com/davidgaming_gaming323,4.34%,Gaming,Micro,Mock Data - Ready for Outreach
MikeTech,YouTube,Germany,English,@miketech_tech894,Low ($534),https://platform.com/miketech_tech894,6.0%,Tech,Micro,Mock Data - Ready for Outreach
ChrisGaming,Twitch,USA,English,@chrisgaming_gaming979,Low ($394),https://platform.com/chrisgaming_gaming979,5.45%,Gaming,Micro,Mock Data - Ready for Outreach
WorldProfessional,Twitch,India,English,@worldprofessional_professional5,Medium ($5k),https://platform.com/worldprofessional_professional5,2.63%,Professional,Mid,Mock Data - Ready for Outreach
Amit Karan,YouTube/Instagram,India,Hindi,@amitkaran_tech523,Low ($856),https://platform.com/amitkaran_tech523,5.11%,Tech,Micro,Mock Data - Ready for Outreach
SnehaGaming,YouTube/Instagram,India,Hindi/English,@snehagaming_gaming255,Low ($780),https://platform.com/snehagaming_gaming255,4.17%,Gaming,Micro,Mock Data - Ready for Outreach
Priya Rahul,YouTube/Instagram,India,Hindi,@priyarahul_professional297,Low ($610),https://platform.com/priyarahul_professional297,4.51%,Professional,Micro,Mock Data - Ready for Outreach
AmitGaming,Twitch,India,Tamil,@amitgaming_gaming333,Low ($430),https://platform.com/amitgaming_gaming333,4.09%,Gaming,Micro,Mock Data - Ready for Outreach
NishaTech,Twitch,India,Hindi,@nishatech_tech117,Low ($800),https://platform.com/nishatech_tech117,4.79%,Tech,Micro,Mock Data - Ready for Outreach
AnjaliGaming,Twitch,India,Tamil,@anjaligaming_gaming244,Low ($766),https://platform.com/anjaligaming_gaming244,4.34%,Gaming,Micro,Mock Data - Ready for Outreach
PlaysProfessional,Instagram,UK,English,@playsprofessional_professional841,Low ($509),https://platform.com/playsprofessional_professional841,5.16%,Professional,Micro,Mock Data - Ready for Outreach
Arjun Arjun,YouTube,India,Hindi,@arjunarjun_tech326,Low ($367),https://platform.com/arjunarjun_tech326,4.67%,Tech,Micro,Mock Data - Ready for Outreach
VikramTech,YouTube/Instagram,India,Tamil,@vikramtech_tech839,Low ($231),https://platform.com/vikramtech_tech839,5.07%,Tech,Micro,Mock Data - Ready for Outreach
Emma Emma,Instagram,Canada,English,@emmaemma_gaming456,Low ($483),https://platform.com/emmaemma_gaming456,5.19%,Gaming,Micro,Mock Data - Ready for Outreach
PriyaGaming,YouTube/Instagram,India,Telugu,@priyagaming_gaming886,Low ($684),https://platform.com/priyagaming_gaming886,5.28%,Gaming,Micro,Mock Data - Ready for Outreach
TechGaming,Twitter/X,Australia,English,@techgaming_gaming830,Low ($346),https://platform.com/techgaming_gaming830,4.96%,Gaming,Micro,Mock Data - Ready for Outreach
KaranGaming,Instagram,India,Telugu,@karangaming_gaming282,Medium ($3k),https://platform.com/karangaming_gaming282,3.25%,Gaming,Mid,Mock Data - Ready for Outreach
Arjun Rahul,YouTube,India,Hindi/English,@arjunrahul_gaming539,Medium ($3k),https://platform.com/arjunrahul_gaming539,3.85%,Gaming,Mid,Mock Data - Ready for Outreach
EmmaProfessional,Twitch,Germany,English,@emmaprofessional,High ($13k+),https://platform.com/emmaprofessional,2.19%,Professional,Mega,Mock Data - Ready for Outreach
RahulTech,Instagram,India,Tamil,@rahultech_tech594,Low ($172),https://platform.com/rahultech_tech594,5.1%,Tech,Micro,Mock Data - Ready for Outreach
TechGaming,Twitch,India,Marathi,@techgaming_gaming712,Medium ($3k),https://platform.com/techgaming_gaming712,3.97%,Gaming,Mid,Mock Data - Ready for Outreach
Mike Tech,YouTube,Australia,English,@miketech_tech42,Low ($491),https://platform.com/miketech_tech42,5.37%,Tech,Micro,Mock Data - Ready for Outreach
Rahul Rahul,YouTube,India,Telugu,@rahulrahul_gaming406,Medium ($4k),https://platform.com/rahulrahul_gaming406,2.72%,Gaming,Mid,Mock Data - Ready for Outreach
Official Official,YouTube,India,Hindi/English,@officialofficial_gaming648,Low ($263),https://platform.com/officialofficial_gaming648,4.18%,Gaming,Micro,Mock Data - Ready for Outreach
Rahul Nisha,YouTube,India,Marathi,@rahulnisha_tech825,Low ($386),https://platform.com/rahulnisha_tech825,4.91%,Tech,Micro,Mock Data - Ready for Outreach
Amit Rahul,YouTube/Instagram,India,Telugu,@amitrahul_gaming319,Low ($794),https://platform.com/amitrahul_gaming319,5.15%,Gaming,Micro,Mock Data - Ready for Outreach
Hub Tech,Instagram,Canada,English,@hubtech_gaming159,Low ($209),https://platform.com/hubtech_gaming159,4.7%,Gaming,Micro,Mock Data - Ready for Outreach
Priya Tech,Twitter/X,India,Hindi/English,@priyatech_gaming434,Low ($827),https://platform.com/priyatech_gaming434,4.55%,Gaming,Micro,Mock Data - Ready for Outreach
Karan Sneha,Instagram,India,Tamil,@karansneha_gaming252,Low ($454),https://platform.com/karansneha_gaming252,5.2%,Gaming,Micro,Mock Data - Ready for Outreach
Nisha Amit,YouTube/Instagram,India,Tamil,@nishaamit_gaming141,Low ($390),https://platform.com/nishaamit_gaming141,5.42%,Gaming,Micro,Mock Data - Ready for Outreach
KaranGaming,Twitch,India,English,@karangaming_gaming936,Low ($471),https://platform.com/karangaming_gaming936,5.0%,Gaming,Micro,Mock Data - Ready for Outreach
AlexGaming,Twitch,UK,English,@alexgaming_gaming191,Low ($696),https://platform.com/alexgaming_gaming191,4.18%,Gaming,Micro,Mock Data - Ready for Outreach
VikramTech,Twitch,India,Hindi,@vikramtech_tech425,Low ($829),https://platform.com/vikramtech_tech425,5.4%,Tech,Micro,Mock Data - Ready for Outreach
Nisha Priya,Twitter/X,India,Hindi/English,@nishapriya_tech872,Low ($357),https://platform.com/nishapriya_tech872,5.65%,Tech,Micro,Mock Data - Ready for Outreach
TechTech,YouTube,India,Hindi/English,@techtech_tech374,Low ($639),https://platform.com/techtech_tech374,5.39%,Tech,Micro,Mock Data - Ready for Outreach
OfficialProfessional,YouTube/Instagram,India,Marathi,@officialprofessional_professional594,Low ($375),https://platform.com/officialprofessional_professional594,4.26%,Professional,Micro,Mock Data - Ready for Outreach
TechGaming,Twitch,Germany,English,@techgaming_gaming597,Low ($315),https://platform.com/techgaming_gaming597,5.14%,Gaming,Micro,Mock Data - Ready for Outreach
RahulTech,Twitch,India,Marathi,@rahultech_tech150,Low ($240),https://platform.com/rahultech_tech150,5.83%,Tech,Micro,Mock Data - Ready for Outreach
JessicaTech,Twitch,Germany,English,@jessicatech_tech929,Medium ($5k),https://platform.com/jessicatech_tech929,3.28%,Tech,Mid,Mock Data - Ready for Outreach
Alex Gaming,Twitch,USA,English,@alexgaming_tech311,Low ($248),https://platform.com/alexgaming_tech311,4.89%,Tech,Micro,Mock Data - Ready for Outreach
AlexTech,Twitter/X,Australia,English,@alextech_tech74,Low ($307),https://platform.com/alextech_tech74,5.61%,Tech,Micro,Mock Data - Ready for Outreach
Tech TV,YouTube/Instagram,Australia,English,@techtv_tech161,Medium ($1k),https://platform.com/techtv_tech161,4.16%,Tech,Mid,Mock Data - Ready for Outreach
AlexProfessional,YouTube,Canada,English,@alexprofessional_professional881,Low ($393),https://platform.com/alexprofessional_professional881,4.59%,Professional,Micro,Mock Data - Ready for Outreach
Tech Amit,Twitter/X,India,English,@techamit_tech624,Low ($654),https://platform.com/techamit_tech624,5.68%,Tech,Micro,Mock Data - Ready for Outreach
RyanTech,Twitch,USA,English,@ryantech_tech979,Low ($352),https://platform.com/ryantech_tech979,4.56%,Tech,Micro,Mock Data - Ready for Outreach
Zone Rohan,YouTube,India,Tamil,@zonerohan_tech997,Low ($639),https://platform.com/zonerohan_tech997,5.63%,Tech,Micro,Mock Data - Ready for Outreach
SarahTech,Twitter/X,Australia,English,@sarahtech_tech61,Low ($863),https://platform.com/sarahtech_tech61,6.0%,Tech,Micro,Mock Data - Ready for Outreach
Karan Nisha,YouTube/Instagram,India,Telugu,@karannisha_tech539,Low ($427),https://platform.com/karannisha_tech539,5.12%,Tech,Micro,Mock Data - Ready for Outreach
TechTech,YouTube/Instagram,India,Tamil,@techtech_tech787,Low ($153),https://platform.com/techtech_tech787,4.61%,Tech,Micro,Mock Data - Ready for Outreach
SnehaGaming,Instagram,India,Hindi/English,@snehagaming_gaming468,Low ($585),https://platform.com/snehagaming_gaming468,4.27%,Gaming,Micro,Mock Data - Ready for Outreach
GamerTech,YouTube,India,Hindi,@gamertech_tech471,Medium ($2k),https://platform.com/gamertech_tech471,3.24%,Tech,Mid,Mock Data - Ready for Outreach
TomProfessional,Instagram,USA,English,@tomprofessional_professional925,Low ($283),https://platform.com/tomprofessional_professional925,5.16%,Professional,Micro,Mock Data - Ready for Outreach
World Sneha,Twitter/X,India,Hindi,@worldsneha_gaming945,Low ($563),https://platform.com/worldsneha_gaming945,4.8%,Gaming,Micro,Mock Data - Ready for Outreach
Sarah Alex,YouTube,Germany,English,@sarahalex_tech308,Low ($627),https://platform.com/sarahalex_tech308,5.27%,Tech,Micro,Mock Data - Ready for Outreach
WorldGaming,YouTube/Instagram,India,Hindi,@worldgaming_gaming582,Low ($532),https://platform.com/worldgaming_gaming582,4.36%,Gaming,Micro,Mock Data - Ready for Outreach
Arjun World,YouTube/Instagram,India,Hindi/English,@arjunworld_tech697,Medium ($4k),https://platform.com/arjunworld_tech697,3.61%,Tech,Mid,Mock Data - Ready for Outreach
GamerTech,Twitch,India,English,@gamertech_tech727,Low ($103),https://platform.com/gamertech_tech727,4.69%,Tech,Micro,Mock Data - Ready for Outreach
TechTech,Instagram,India,Hindi/English,@techtech_tech328,Low ($358),https://platform.com/techtech_tech328,4.85%,Tech,Micro,Mock Data - Ready for Outreach
ZoneTech,YouTube,India,Telugu,@zonetech_tech578,Low ($640),https://platform.com/zonetech_tech578,4.83%,Tech,Micro,Mock Data - Ready for Outreach
Gamer Rohan,Twitch,India,Hindi/English,@gamerrohan_tech878,Low ($613),https://platform.com/gamerrohan_tech878,5.6%,Tech,Micro,Mock Data - Ready for Outreach
RahulTech,YouTube,India,Telugu,@rahultech_tech764,Low ($296),https://platform.com/rahultech_tech764,4.9%,Tech,Micro,Mock Data - Ready for Outreach
TechTech,Instagram,India,Telugu,@techtech_tech26,Medium ($4k),https://platform.com/techtech_tech26,3.78%,Tech,Mid,Mock Data - Ready for Outreach
PlaysGaming,Twitch,USA,English,@playsgaming_gaming154,Low ($303),https://platform.com/playsgaming_gaming154,5.19%,Gaming,Micro,Mock Data - Ready for Outreach
OfficialTech,Twitch,India,Hindi,@officialtech_tech144,Low ($285),https://platform.com/officialtech_tech144,5.47%,Tech,Micro,Mock Data - Ready for Outreach
Gaming David,YouTube/Instagram,Australia,English,@gamingdavid_gaming264,Low ($813),https://platform.com/gamingdavid_gaming264,4.85%,Gaming,Micro,Mock Data - Ready for Outreach
HubGaming,YouTube/Instagram,UK,English,@hubgaming_gaming947,Low ($776),https://platform.com/hubgaming_gaming947,5.22%,Gaming,Micro,Mock Data - Ready for Outreach
GamerTech,YouTube/Instagram,India,Hindi,@gamertech_tech336,Low ($856),https://platform.com/gamertech_tech336,4.63%,Tech,Micro,Mock Data - Ready for Outreach
GamingGaming,Instagram,Canada,English,@gaminggaming_gaming434,Low ($898),https://platform.com/gaminggaming_gaming434,5.24%,Gaming,Micro,Mock Data - Ready for Outreach
KaranTech,YouTube,India,Hindi/English,@karantech_tech249,Low ($213),https://platform.com/karantech_tech249,4.7%,Tech,Micro,Mock Data - Ready for Outreach
Sneha Gamer,Twitch,India,English,@snehagamer_tech761,Low ($260),https://platform.com/snehagamer_tech761,6.0%,Tech,Micro,Mock Data - Ready for Outreach
Nisha Anjali,YouTube,India,Marathi,@nishaanjali_tech623,Low ($337),https://platform.com/nishaanjali_tech623,5.91%,Tech,Micro,Mock Data - Ready for Outreach
ZoneGaming,YouTube/Instagram,India,Tamil,@zonegaming_gaming360,Low ($473),https://platform.com/zonegaming_gaming360,5.34%,Gaming,Micro,Mock Data - Ready for Outreach
Mike Anna,Instagram,USA,English,@mikeanna_professional561,Medium ($3k),https://platform.com/mikeanna_professional561,3.2%,Professional,Mid,Mock Data - Ready for Outreach
RohanProfessional,YouTube/Instagram,India,Hindi/English,@rohanprofessional_professional317,Low ($712),https://platform.com/rohanprofessional_professional317,4.71%,Professional,Micro,Mock Data - Ready for Outreach
Anjali Rahul,YouTube,India,Marathi,@anjalirahul_gaming582,Low ($706),https://platform.com/anjalirahul_gaming582,4.22%,Gaming,Micro,Mock Data - Ready for Outreach
Zone Karan,YouTube,India,Hindi/English,@zonekaran_gaming352,Low ($542),https://platform.com/zonekaran_gaming352,4.58%,Gaming,Micro,Mock Data - Ready for Outreach
Gaming Tech,YouTube/Instagram,Canada,English,@gamingtech_tech544,Low ($755),https://platform.com/gamingtech_tech544,4.82%,Tech,Micro,Mock Data - Ready for Outreach
EmmaGaming,YouTube,Australia,English,@emmagaming_gaming345,Low ($750),https://platform.com/emmagaming_gaming345,5.41%,Gaming,Micro,Mock Data - Ready for Outreach
OfficialTech,Twitch,India,Telugu,@officialtech_tech198,Low ($232),https://platform.com/officialtech_tech198,5.1%,Tech,Micro,Mock Data - Ready for Outreach
RohanTech,YouTube,India,Hindi/English,@rohantech_tech449,Low ($716),https://platform.com/rohantech_tech449,5.36%,Tech,Micro,Mock Data - Ready for Outreach
MikeProfessional,YouTube/Instagram,USA,English,@mikeprofessional_professional137,Low ($760),https://platform.com/mikeprofessional_professional137,4.85%,Professional,Micro,Mock Data - Ready for Outreach
Nisha Priya,YouTube/Instagram,India,Tamil,@nishapriya_professional339,Low ($748),https://platform.com/nishapriya_professional339,4.22%,Professional,Micro,Mock Data - Ready for Outreach
Anna Hub,Twitter/X,USA,English,@annahub_professional70,Medium ($4k),https://platform.com/annahub_professional70,3.13%,Professional,Mid,Mock Data - Ready for Outreach
Emma Alex,Instagram,Canada,English,@emmaalex_tech724,Medium ($5k),https://platform.com/emmaalex_tech724,3.27%,Tech,Mid,Mock Data - Ready for Outreach
RyanGaming,Twitch,UK,English,@ryangaming_gaming995,Low ($511),https://platform.com/ryangaming_gaming995,5.03%,Gaming,Micro,Mock Data - Ready for Outreach
Tech Anjali,Twitch,India,Hindi,@techanjali_gaming907,Low ($736),https://platform.com/techanjali_gaming907,4.39%,Gaming,Micro,Mock Data - Ready for Outreach
Plays TV,YouTube,Germany,English,@playstv_gaming855,Low ($844),https://platform.com/playstv_gaming855,4.9%,Gaming,Micro,Mock Data - Ready for Outreach
Anjali Zone,Twitch,India,English,@anjalizone_gaming378,Low ($641),https://platform.com/anjalizone_gaming378,4.52%,Gaming,Micro,Mock Data - Ready for Outreach
Ryan Emma,YouTube/Instagram,Canada,English,@ryanemma_gaming826,Medium ($5k),https://platform.com/ryanemma_gaming826,2.87%,Gaming,Mid,Mock Data - Ready for Outreach
VikramGaming,Twitch,India,Marathi,@vikramgaming,High ($13k+),https://platform.com/vikramgaming,2.68%,Gaming,Mega,Mock Data - Ready for Outreach
AmitTech,Instagram,India,Hindi,@amittech_tech967,Low ($315),https://platform.com/amittech_tech967,5.21%,Tech,Micro,Mock Data - Ready for Outreach
Tech Ryan,YouTube/Instagram,Germany,English,@techryan_tech713,Low ($306),https://platform.com/techryan_tech713,4.94%,Tech,Micro,Mock Data - Ready for Outreach
Sarah Ryan,Twitter/X,USA,English,@sarahryan_tech880,Low ($186),https://platform.com/sarahryan_tech880,5.3%,Tech,Micro,Mock Data - Ready for Outreach
KaranGaming,Instagram,India,English,@karangaming_gaming55,Low ($300),https://platform.com/karangaming_gaming55,5.33%,Gaming,Micro,Mock Data - Ready for Outreach
Sarah Chris,Instagram,Australia,English,@sarahchris_tech105,Low ($594),https://platform.com/sarahchris_tech105,5.77%,Tech,Micro,Mock Data - Ready for Outreach
Anjali Vikram,Twitter/X,India,Tamil,@anjalivikram_professional844,Low ($453),https://platform.com/anjalivikram_professional844,5.21%,Professional,Micro,Mock Data - Ready for Outreach
ChrisGaming,Twitter/X,Canada,English,@chrisgaming_gaming999,Medium ($1k),https://platform.com/chrisgaming_gaming999,3.37%,Gaming,Mid,Mock Data - Ready for Outreach
RohanGaming,Twitter/X,India,Telugu,@rohangaming_gaming890,Low ($636),https://platform.com/rohangaming_gaming890,4.66%,Gaming,Micro,Mock Data - Ready for Outreach
